# Control-plane events: capture_2026-08-13_linux_power-on2_parsed.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [init+rate]  at 5.348714 s, 36 transfers, span 281.273 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
     0.000 |           |     72.0 | 149501 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   117.250 |   117.178 |     21.0 |      0 | SET_ADDRESS wValue=0x0009
   133.221 |    15.950 |     72.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   133.342 |     0.049 |     50.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=9 -> 09 02 49 00 02 01 00 c0 00
   133.457 |     0.065 |    185.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=73 -> 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 00 00 09 04 00 01 03 ff 00 00 00 07 05 02 05 04 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
   133.659 |     0.017 |     50.0 |      0 | GET_DESCRIPTOR wValue=0x0300 len=255 -> 04 03 09 04
   133.755 |     0.046 |     72.0 |      0 | GET_DESCRIPTOR wValue=0x0302 wIndex=0x0409 len=255 -> 1e 03 4a 00 6f 00 63 00 6b 00 65 00 79 00 20 00 33 00 20 00 52 00 65 00 6d 00 69 00 78 00
   133.873 |     0.046 |     51.0 |      0 | GET_DESCRIPTOR wValue=0x0301 wIndex=0x0409 len=255 -> 0e 03 72 00 65 00 6c 00 6f 00 6f 00 70 00
   133.970 |     0.046 |     92.0 |      0 | GET_DESCRIPTOR wValue=0x0303 wIndex=0x0409 len=255 -> 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
   163.244 |    29.182 |     33.0 |      0 | SET_CONFIGURATION wValue=0x0001
   163.374 |     0.097 |     36.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   163.698 |     0.288 |     31.0 |      0 | SET_INTERFACE intf=0 alt=1
